StatementID,TreatmentCode,SubjectID,personality_string,SH,SH_JUS,AI_SH,AI_SH_JUS
197,ODP,2222,2111221,Y,Y is the option where I will likely get a good amount regardless of what the other player chooses.,X,"Choosing option X maximizes the payout for both parties, which could be seen as more fair."
198,ODP,2254,1221122,X,To maximise the money that both earn it makes the most sense to pick X.,X,Go for option X for more ECU.
199,ODP,2262,1211221,X,Best way to earn more.,X,"I choose option X because it has the highest expected payout, regardless of the other person's choice."
200,ODP,2272,2111211,X,It makes sense for both of us.,X,"I choose option X because it has the potential to yield the highest payout for both parties, if the other person also chooses X. It's a win-win situation."
201,ODP,2273,2112221,X,Makes more reasonable sense to choose.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
202,ODP,2299,2112222,X,Higher reward if both choose it.,X,Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.
203,ODP,2317,2212221,X,The most payout if both choose this option.,X,I choose X because it gives me the opportunity to earn more money regardless of the other person's choice.
204,ODP,2336,2121221,X,We can maximise our winning if we both choose X.,X,Maximizing the outcome regardless of the other person's choice.
205,ODP,2339,2112221,X,I will go with X I prefer overall.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
206,ODP,2345,2121121,X,Bigger risk for bigger reward.,X,Maximize potential earnings.
207,ODP,2350,1112221,X,I know the best option.,X,"I choose option X because it results in a fairer outcome for both parties, even though the other person's choice is unknown."
208,ODP,2355,2221221,X,"This way we both do the best as a team, not just as an individual.",X,"Opting for X maximizes the potential payout in all scenarios, so it seems like the best choice."
209,ODP,2364,2111211,X,"Hopefully, they will be fair and choose X, too.",X,"I choose option X because it has the potential to yield the highest payout for both parties, if the other person also chooses X. It's a win-win situation."
210,ODP,2366,1112221,Y,I am guaranteed a relatively high payment.,X,"I choose option X because it results in a fairer outcome for both parties, even though the other person's choice is unknown."
211,ODP,2375,2111221,X,Hoping we  both do well.,X,"Choosing option X maximizes the payout for both parties, which could be seen as more fair."
212,ODP,2377,2112121,X,Get the most ECU.,X,"Choosing option X results in the highest payout in both scenarios where you choose X. Additionally, even if the other person chooses Y, you still earn more than if you both choose Y."
213,ODP,2388,2111221,X,'X' is the obvious choice if both of us wish to split credits equally.,X,"Choosing option X maximizes the payout for both parties, which could be seen as more fair."
214,ODP,2401,2111221,X,"Because there is a chance that we could both earn 8 ECU if we both choose X, whereas if we both choose Y we earn less.",X,"Choosing option X maximizes the payout for both parties, which could be seen as more fair."
215,ODP,2402,1111221,X,Maximum payout which I am sure the other person will go for.,X,I choose option X as it is the option that is most beneficial for both parties and has the highest reward if both parties choose it.
216,ODP,2414,1112212,Y,If other person chooses Y we get same reward.,X,Earn more in all scenarios.
217,ODP,2435,2122221,X,Should be most mutually beneficial outcome.,X,"The option X results in a better outcome in three out of four possible combinations, so it is the more optimal choice."
218,ODP,2436,1112211,X,Is the best option.,X,I choose option X because it maximizes potential mutual benefit and minimizes potential mutual harm.
219,ODP,2472,1122222,X,"Hopefully, the other will also choose X to maximise profit.",X,To maximize earnings and avoid the risk of getting only 4 ECU.
220,ODP,2476,2122121,Y,Seems to maximise my outcome.,X,Maximizing individual gain.
221,ODP,2513,2122222,X,It's the one where both parties get the highest amount. It seems inconceivable that the other party wouldn't also pick X.,X,"I choose option X because it gives the highest expected value in all possible scenarios, regardless of what the other person chooses."
222,ODP,2519,2221112,X,I wish to make the choice.,X,"Go for the higher payout, choose X."
223,ODP,2534,2212121,X,Time to share the ECU.,X,"I choose X because it provides the best payout in all scenarios, with the worst payout still being 4 ECU."
224,ODP,2546,2212212,X,If we both choose this we both do well so I feel it is worth the risk and the other person may feel this too.,X,"Choosing option X results in a higher payout in two out of the four possible scenarios, making it the safer choice financially."
225,ODP,2547,2111211,X,The highest chance of a return.,X,"I choose option X because it has the potential to yield the highest payout for both parties, if the other person also chooses X. It's a win-win situation."
226,ODP,2558,2112221,X,Assume we both want 8ECU.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
227,ODP,2565,2112221,X,Choosing X results in an even split of 8 ECU.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
228,ODP,2571,2122221,X,At the very worst I can make 1 ECU with a decent chance the other person will realise the mutual benefit of picking X.,X,"The option X results in a better outcome in three out of four possible combinations, so it is the more optimal choice."
229,ODP,2580,2111212,X,The decision is arbitrary but I want to feel like I am in control.,X,"I choose option X because it results in the most ECU for both parties in the case where both parties choose X, and also provides a better payout than option Y in the case where the other party chooses Y."
230,ODP,2585,1211222,X,X comes first in the alphabet.,X,"By choosing X, I will earn more ECU regardless of the other person's choice."
231,ODP,2598,2122121,Y,"I feel like the other person will pick Y, too.",X,Maximizing individual gain.
232,ODP,2602,2111221,X,I wish to maximise the result for the contestants and me choosing X does that.,X,"Choosing option X maximizes the payout for both parties, which could be seen as more fair."
233,ODP,2606,2221222,X,"I have a 50/50 chance of getting this right, so I thought I'd have a go.",X,"I choose option X because it provides a higher payout in the scenario where the other player chooses Y, and the payouts are still relatively decent if both players choose X."
234,ODP,2627,2112222,X,I’m hoping both of us will choose X.,X,Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.
235,ODP,2636,2112221,X,We both get the maximum ECU.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
236,ODP,2643,2112221,X,Makes sense to take as much as possible.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
237,ODP,2652,1111221,X,Choosing option X is the most profitable option if the other person also chooses option X.,X,I choose option X as it is the option that is most beneficial for both parties and has the highest reward if both parties choose it.
238,ODP,2664,2212211,X,It provides the most ECU without suffering any penalties.,X,"Choosing option X results in a better outcome in two of the four scenarios, and the worst possible outcome is still receiving 4 ECU, which is better than choosing option Y in all scenarios."
239,ODP,2675,2112221,Y,I used my gut instinct and went with Y.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
240,ODP,2685,2221221,Y,Most likely to get a decent amount.,X,"Opting for X maximizes the potential payout in all scenarios, so it seems like the best choice."
241,ODP,2703,2112221,X,"X earns us more ECU. It makes sense to choose it and hopefully, the other person will reason like that too and we'll both get 8ECU.",X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
242,ODP,2723,2122221,X,"Hopefully, the other person chooses X and we're both rewarded 8 ECU.",X,"The option X results in a better outcome in three out of four possible combinations, so it is the more optimal choice."
243,ODP,2749,1111111,X,The greatest amount of earnings is from this choice.,X,I think option X gives a better payout.
244,ODP,2755,2112221,X,I am looking for the maximum benefit and I believe the other person will do same.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
245,ODP,2782,2221221,X,I want to maximize the total amount of money that we both receive.,X,"Opting for X maximizes the potential payout in all scenarios, so it seems like the best choice."
246,ODP,2787,2111211,X,"If we both pick X, we both get the highest amount possible.",X,"I choose option X because it has the potential to yield the highest payout for both parties, if the other person also chooses X. It's a win-win situation."
247,ODP,2798,1112221,X,Fairest decision for both parties.,X,"I choose option X because it results in a fairer outcome for both parties, even though the other person's choice is unknown."
248,ODP,2799,2211221,X,Optimistic the other person will choose what is best for both of us.,X,Choosing option X maximizes the payout for both parties in case the other person also chooses X.
249,ODP,2801,2112221,X,Maximise the possible return.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
250,ODP,2833,1112221,X,We both gain if we both go with X.,X,"I choose option X because it results in a fairer outcome for both parties, even though the other person's choice is unknown."
251,ODP,2841,1112221,X,It is most beneficial for both parties.,X,"I choose option X because it results in a fairer outcome for both parties, even though the other person's choice is unknown."
252,ODP,2846,1121121,X,I would think they would choose this due to higher earning.,X,I'll choose option X to maximize my earnings and minimize my potential losses.
253,ODP,2867,2111211,X,This maximises payout for both parties.,X,"I choose option X because it has the potential to yield the highest payout for both parties, if the other person also chooses X. It's a win-win situation."
254,ODP,2875,1211221,X,"Hopefully, they see 8 each as the best option.",X,"I choose option X because it has the highest expected payout, regardless of the other person's choice."
255,ODP,2885,2212212,X,I will earn the maximum if we both choose the same. The benefit outweighs the risk.,X,"Choosing option X results in a higher payout in two out of the four possible scenarios, making it the safer choice financially."
256,ODP,2895,1211112,X,"I have chosen the win-win option, which is the best option for both of us.",X,"Sure, I'll choose X because it gives a higher payout in the two cases where my choice differs from the other person's."
257,ODP,2927,2112221,Y,I would get more.,X,"Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y."
258,ODP,2955,2111222,Y,More chance of more.,X,I'm choosing option X because it gives a higher payout in the case where the other person chooses Y and it results in a fair outcome if both of us choose X.
259,ODP,2967,2212211,X,I think choosing X would benefit both parties more in terms of ECU earned.,X,"Choosing option X results in a better outcome in two of the four scenarios, and the worst possible outcome is still receiving 4 ECU, which is better than choosing option Y in all scenarios."
260,ODP,2984,2211212,Y,Choosing Y guarantees a minimum win of 4 and a maximum win of 5. Choosing X guarantees a minimum win of 1 and a maximum of 8. Y is therefore less risky.,X,"Choosing X provides a higher payout in the scenario where the other player chooses Y, and a lower payout if both players choose X. This choice maximizes potential earnings."
