question_ref,question_id,block_name,question_type,family,csv_columns_json,n_csv_columns,profile_section,profile_subsection,retention_mode,derived_targets,readable_card_priority,question_text_short,notes
Cognitive tests::QID82,QID82,Cognitive tests,MC,cognitive_tests,"[""QID82""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to GERMANE,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID83,QID83,Cognitive tests,MC,cognitive_tests,"[""QID83""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to VACUOUS,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Demographics::QID11,QID11,Demographics,MC,demographics,"[""QID11""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,Which part of the United States do you currently live in?,Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID12,QID12,Demographics,MC,demographics,"[""QID12""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,What is the sex that you were assigned at birth?,Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID13,QID13,Demographics,MC,demographics,"[""QID13""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,How old are you?,Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID14,QID14,Demographics,MC,demographics,"[""QID14""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,What is the highest level of schooling or degree that you have completed?,Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID15,QID15,Demographics,MC,demographics,"[""QID15""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,What is your race or origin?,Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID16,QID16,Demographics,MC,demographics,"[""QID16""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,Are you a citizen of the United States?,Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID17,QID17,Demographics,MC,demographics,"[""QID17""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,Which of these best describes you?,Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID18,QID18,Demographics,MC,demographics,"[""QID18""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,"What is your present religion, if any?",Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID19,QID19,Demographics,MC,demographics,"[""QID19""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,"Aside from weddings and funerals, how often do you attend religious services?",Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID20,QID20,Demographics,MC,demographics,"[""QID20""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,"In politics today, do you consider yourself a",Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID21,QID21,Demographics,MC,demographics,"[""QID21""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,"Last year, what was your total family income from all sources, before taxes?",Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID22,QID22,Demographics,MC,demographics,"[""QID22""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,"In general, would you describe your political views as",Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID23,QID23,Demographics,MC,demographics,"[""QID23""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,"Including yourself, how many people currently live in your household?",Keep as participant context. Do not over-interpret as deep trait evidence.
Demographics::QID24,QID24,Demographics,MC,demographics,"[""QID24""]",1,background_context,demographics,raw_plus_harmonized,context_only,selective,What is your current employment status?,Keep as participant context. Do not over-interpret as deep trait evidence.
Disease - gain::QID157,QID157,Disease - gain,MC,other,"[""QID157""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. ",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Disease-loss::QID158,QID158,Disease-loss,MC,other,"[""QID158""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. ",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Economic preferences::QID117,QID117,Economic preferences,MC,trust,"[""QID117""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,Suppose you were given $5 and had to decide how much of this money to keep for yourself and how much to send to another (anonymous) person. Any amount you send to the other person ,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID118,QID118,Economic preferences,MC,trust,"[""QID118""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,"Suppose now that you are playing this game as the other person, i.e., the receiver. For each amount that you may receive, how much would you keep for yourself and how much would se",Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID119,QID119,Economic preferences,MC,trust,"[""QID119""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person sends me $4 (which would become $12):,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID120,QID120,Economic preferences,MC,trust,"[""QID120""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person sends me $3 (which would become $9):,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID121,QID121,Economic preferences,MC,trust,"[""QID121""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person sends me $2 (which would become $6):,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID122,QID122,Economic preferences,MC,trust,"[""QID122""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person sends me $1 (which would become $3):,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID149,QID149,Economic preferences,MC,mental_accounting,"[""QID149""]",1,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Person A was given tickets to lotteries involving the World Series. They won $50 in one lottery and $25 in the other. Person B was given a ticket to a single, larger World Series l","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID150,QID150,Economic preferences,MC,mental_accounting,"[""QID150""]",1,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,Person A received a letter from the IRS saying that they made a minor arithmetical mistake on their tax return and owed $100. They received a similar letter the same day from their,"Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID151,QID151,Economic preferences,MC,mental_accounting,"[""QID151""]",1,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Person A bought their first New York State lottery ticket and won $100. Also, in a freak accident, they damaged the rug in their apartment and had to pay the landlord $80. Person B","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID152,QID152,Economic preferences,MC,mental_accounting,"[""QID152""]",1,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Person A's car was damaged in a parking lot. They had to spend $200 to repair the damage. The same day the car was damaged, they won $25 in the office football pool. Person B's car","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID224,QID224,Economic preferences,MC,ultimatum,"[""QID224""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,Suppose you were given $5 and had to offer to another (anonymous) person a way to split the money. You would propose how much of this money to keep for yourself and how much to sen,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID225,QID225,Economic preferences,MC,ultimatum,"[""QID225""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,"Suppose now that you are playing this game as the other person, i.e., the receiver. For each offer made by the sender, would you accept or reject the offer? If the person offers to",Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID226,QID226,Economic preferences,MC,ultimatum,"[""QID226""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person offers to keep $1 for themselves and send me $4:,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID227,QID227,Economic preferences,MC,ultimatum,"[""QID227""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person offers to keep $2 for themselves and send me $3:,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID228,QID228,Economic preferences,MC,ultimatum,"[""QID228""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person offers to keep $3 for themselves and send me $2:,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID229,QID229,Economic preferences,MC,ultimatum,"[""QID229""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person offers to keep $4 for themselves and send me $1:,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID230,QID230,Economic preferences,MC,ultimatum,"[""QID230""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,If the person offers to keep $5 for themselves and send me $0:,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID231,QID231,Economic preferences,MC,dictator,"[""QID231""]",1,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,"Suppose you were given $5 and had to split the money between yourself and another (anonymous) person. You and you only would decide how to split the money, the other person would n",Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID243,QID243,Economic preferences,DB,time_preference,[],0,exclude,scaffolding,drop,,exclude,"The following 6 questions will concern amounts of money you may receive in the future. In particular, these questions will concern amounts of money that you may receive after some ","Instruction, section-intro, or transition page with no participant response."
Economic preferences::QID244,QID244,Economic preferences,Matrix,time_preference,"[""QID244_4"", ""QID244_5"", ""QID244_6"", ""QID244_7"", ""QID244_8"", ""QID244_9"", ""QID244_10"", ""QID244_11"", ""QID244_12"", ""QID244_13""]",10,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Please choose between the following options. For each line in the list, you must choose between the option on the left and the option on the right. Note that on each line, the opti","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID245,QID245,Economic preferences,Matrix,time_preference,"[""QID245_4"", ""QID245_5"", ""QID245_6"", ""QID245_7"", ""QID245_8"", ""QID245_9"", ""QID245_10"", ""QID245_11"", ""QID245_12"", ""QID245_13"", ""QID245_14""]",11,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Please choose between the following options. For each line in the list, you must choose between the option on the left and the option on the right. Note that on each line, the opti","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID246,QID246,Economic preferences,Matrix,time_preference,"[""QID246_4"", ""QID246_5"", ""QID246_6"", ""QID246_7"", ""QID246_8"", ""QID246_9"", ""QID246_10"", ""QID246_11"", ""QID246_12""]",9,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Please choose between the following options. For each line in the list, you must choose between the option on the left and the option on the right. Note that on each line, the opti","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID247,QID247,Economic preferences,Matrix,time_preference,"[""QID247_4"", ""QID247_5"", ""QID247_6"", ""QID247_7"", ""QID247_8"", ""QID247_9"", ""QID247_10"", ""QID247_11"", ""QID247_12"", ""QID247_13""]",10,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Please choose between the following options. For each line in the list, you must choose between the option on the left and the option on the right. Note that on each line, the opti","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID248,QID248,Economic preferences,Matrix,time_preference,"[""QID248_4"", ""QID248_5"", ""QID248_6"", ""QID248_7"", ""QID248_8"", ""QID248_9"", ""QID248_10"", ""QID248_11"", ""QID248_12"", ""QID248_13"", ""QID248_14""]",11,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Please choose between the following options. For each line in the list, you must choose between the option on the left and the option on the right. Note that on each line, the opti","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID249,QID249,Economic preferences,DB,risk_preference_gain,[],0,exclude,scaffolding,drop,,exclude,"In the next few questions, you will be asked to consider various lottery tickets. These lotteries will be represented in the following way: This lottery ticket has a 60% chance of ","Instruction, section-intro, or transition page with no participant response."
Economic preferences::QID250,QID250,Economic preferences,Matrix,risk_preference_gain,"[""QID250_1"", ""QID250_2"", ""QID250_3"", ""QID250_4"", ""QID250_5"", ""QID250_6"", ""QID250_7"", ""QID250_8"", ""QID250_9"", ""QID250_10"", ""QID250_11"", ""QID250_12"", ""QID250_13"", ""QID250_14""]",14,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"In this question, the LOTTERY is a 50% chance of winning $6 and a 50% chance of winning $0. Suppose you are given the option to exchange this lottery for certain amounts of money. ","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID251,QID251,Economic preferences,Matrix,risk_preference_gain,"[""QID251_1"", ""QID251_2"", ""QID251_3"", ""QID251_4"", ""QID251_5"", ""QID251_6"", ""QID251_7"", ""QID251_8"", ""QID251_9"", ""QID251_10"", ""QID251_11"", ""QID251_12"", ""QID251_13"", ""QID251_14""]",14,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"In this question, the LOTTERY is a 50% chance of winning $8 and a 50% chance of winning $2. Suppose you are given the option to exchange this lottery for certain amounts of money. ","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID252,QID252,Economic preferences,Matrix,risk_preference_gain,"[""QID252_1"", ""QID252_2"", ""QID252_3"", ""QID252_4"", ""QID252_5"", ""QID252_6"", ""QID252_7"", ""QID252_8"", ""QID252_9"", ""QID252_10"", ""QID252_11"", ""QID252_12"", ""QID252_13"", ""QID252_14""]",14,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"In this question, the LOTTERY is a 50% chance of winning $10 and a 50% chance of winning $0. Suppose you are given the option to exchange this lottery for certain amounts of money.","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID271,QID271,Economic preferences,TE,trust,"[""QID271_1"", ""QID271_11"", ""QID271_2"", ""QID271_3"", ""QID271_4"", ""QID271_5""]",6,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,"We are now interested in what you were thinking about while deciding how much of the money to keep for yourself and how much to send to another (anonymous) person, and when decidin",Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID272,QID272,Economic preferences,TE,trust,"[""QID272_1"", ""QID272_2"", ""QID272_3"", ""QID272_4"", ""QID272_5"", ""QID272_6""]",6,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,"Second, please list the thoughts you had when deciding how much would you keep for yourself and how much would send back to the other person:",Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID275,QID275,Economic preferences,TE,dictator,"[""QID275_1"", ""QID275_2"", ""QID275_3"", ""QID275_4"", ""QID275_5"", ""QID275_6""]",6,observed_in_twin,social_game_behavior,raw_plus_block_summary,behavioral_signature;social_style;derived_dimensions.social_preferences;pgg_relevant_cues,high,We are now interested in what you were thinking about while deciding how much of the money to keep for yourself and how much to send to another (anonymous) person. Any thought is f,Direct social-preference game evidence. Keep observed behavior distinct from later transfer hypotheses.
Economic preferences::QID276,QID276,Economic preferences,Matrix,risk_preference_loss,"[""QID276_1"", ""QID276_2"", ""QID276_3"", ""QID276_4"", ""QID276_5"", ""QID276_6"", ""QID276_7"", ""QID276_8"", ""QID276_9"", ""QID276_10"", ""QID276_11"", ""QID276_12"", ""QID276_13"", ""QID276_14""]",14,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"In this question, the LOTTERY is a 50% chance of LOSING $6 (as indicated by the minus sign before $6) and a 50% chance of winning $0. Suppose you are given the option to exchange t","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID277,QID277,Economic preferences,Matrix,risk_preference_loss,"[""QID277_1"", ""QID277_2"", ""QID277_3"", ""QID277_4"", ""QID277_5"", ""QID277_6"", ""QID277_7"", ""QID277_8"", ""QID277_9"", ""QID277_10"", ""QID277_11"", ""QID277_12"", ""QID277_13"", ""QID277_14""]",14,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"In this question, the LOTTERY is a 50% chance of LOSING $8 and a 50% chance of LOSING $2 (as indicated by the minus sign before $8 and $2). Suppose you are given the option to exch","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID278,QID278,Economic preferences,Matrix,risk_preference_loss,"[""QID278_1"", ""QID278_2"", ""QID278_3"", ""QID278_4"", ""QID278_5"", ""QID278_6"", ""QID278_7"", ""QID278_8"", ""QID278_9"", ""QID278_10"", ""QID278_11"", ""QID278_12"", ""QID278_13"", ""QID278_14""]",14,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"In this question, the LOTTERY is a 50% chance of LOSING $10 (as indicated by the minus sign before $10) and a 50% chance of winning $0. Suppose you are given the option to exchange","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID279,QID279,Economic preferences,Matrix,risk_preference_loss,"[""QID279_1"", ""QID279_2"", ""QID279_3"", ""QID279_4"", ""QID279_5"", ""QID279_6"", ""QID279_7"", ""QID279_8"", ""QID279_9"", ""QID279_10"", ""QID279_11"", ""QID279_12"", ""QID279_13"", ""QID279_14""]",14,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"In this question, the LOTTERY is a 50% chance of LOSING $8 (as indicated by the minus sign before $8) and a 50% chance of winning a value x. Suppose you are given the option to exc","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences::QID84,QID84,Economic preferences,Matrix,time_preference,"[""QID84_4"", ""QID84_5"", ""QID84_6"", ""QID84_7"", ""QID84_8"", ""QID84_9"", ""QID84_10"", ""QID84_11"", ""QID84_12""]",9,observed_in_twin,economic_preferences_non_social,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;pgg_relevant_cues,high,"Please choose between the following options. For each line in the list, you must choose between the option on the left and the option on the right. Note that on each line, the opti","Behavioral-econ evidence that may matter for later transfer, but should remain descriptive here."
Economic preferences - intro::QID242,QID242,Economic preferences - intro,DB,economic_preferences_other,[],0,exclude,scaffolding,drop,,exclude,"In this section, you will be asked various questions about your opinions and preferences. In order to help you pace yourself, the ""next"" button will appear only after a few seconds","Instruction, section-intro, or transition page with no participant response."
Economic preferences - intro::QID266,QID266,Economic preferences - intro,DB,economic_preferences_other,[],0,exclude,scaffolding,drop,,exclude,"In this final section, you will be asked various questions about your opinions and preferences. In order to help you pace yourself, the ""next"" button will appear only after a few s","Instruction, section-intro, or transition page with no participant response."
False consensus::QID287,QID287,False consensus,Matrix,other,"[""QID287_1"", ""QID287_2"", ""QID287_3"", ""QID287_4"", ""QID287_5"", ""QID287_6"", ""QID287_7"", ""QID287_10"", ""QID287_11"", ""QID287_12""]",10,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Would you support or oppose...,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Forward Flow::QID10,QID10,Forward Flow,TE,other,"[""QID10_1"", ""QID10_2"", ""QID10_3"", ""QID10_4"", ""QID10_5"", ""QID10_6"", ""QID10_7"", ""QID10_8"", ""QID10_9"", ""QID10_10"", ""QID10_11"", ""QID10_12"", ""QID10_13"", ""QID10_14"", ""QID10_15"", ""QID10_16"", ""QID10_17"", ""QID10_18"", ""QID10_19"", ""QID10_20""]",20,observed_in_twin,open_text_responses,raw_text_plus_summary,behavioral_signature;decision_style,low,"On this page, starting with the word paper, your job is to write down the next word that follows in your mind from the previous word. Please put down only single words, and do not ","Open free-association text. Keep available, but do not over-weight it relative to structured evidence."
Less is More Gamble A::QID171,QID171,Less is More Gamble A,MC,other,"[""QID171""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Please rate your level of disagreement or agreement with the following statement: ""I would find a game that had a 7/36 chance of winning $9 and a 29/36 chance of winning nothing ex",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Less is More Gamble B::QID172,QID172,Less is More Gamble B,MC,other,"[""QID172""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Please rate your level of disagreement or agreement with the following statement: ""I would find a game that had a 7/36 chance of winning $9 and a 29/36 chance of losing $0.05 extre",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Less is More Gamble C::QID173,QID173,Less is More Gamble C,MC,other,"[""QID173""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Please rate your level of disagreement or agreement with the following statement: ""I would find a game that had a 7/36 chance of winning $9 and a 29/36 chance of losing $0.25 extre",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Linda -no conjunction::QID159,QID159,Linda -no conjunction,Matrix,other,"[""QID159_1"", ""QID159_2"", ""QID159_3""]",3,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and a",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Linda-conjunction::QID160,QID160,Linda-conjunction,Matrix,other,"[""QID160_1"", ""QID160_2"", ""QID160_3""]",3,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and a",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Myside Ford::QID194,QID194,Myside Ford,MC,other,"[""QID194""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"According to a comprehensive study by the U.S. Department of Transportation, Ford Explorers are 8 times more likely than a typical family car to kill occupants of another car in a ",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Myside German::QID195,QID195,Myside German,MC,other,"[""QID195""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"According to a comprehensive study by the U.S. Department of Transportation, a particular German car is 8 times more likely than a typical family car to kill occupants of another c",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Non-experimental heuristics and biases::QID196,QID196,Non-experimental heuristics and biases,MC,heuristics_biases,"[""QID196""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Assume that you are presented with two trays of black and white marbles, a large tray that contains 100 marbles and a small tray that contains 10 marbles. The marbles are spread in",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Non-experimental heuristics and biases::QID288,QID288,Non-experimental heuristics and biases,Matrix,heuristics_biases,"[""QID288_1"", ""QID288_2"", ""QID288_3"", ""QID288_4""]",4,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Please rate the following technology or products from ""not at all beneficial"" to ""extremely beneficial""",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Non-experimental heuristics and biases::QID289,QID289,Non-experimental heuristics and biases,Matrix,heuristics_biases,"[""QID289_1"", ""QID289_2"", ""QID289_3"", ""QID289_4""]",4,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Please rate the following technology or products from ""not at all risky"" to ""extremely risky""",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Non-experimental heuristics and biases::QID290,QID290,Non-experimental heuristics and biases,Slider,heuristics_biases,"[""QID290_1"", ""QID290_2"", ""QID290_3"", ""QID290_4"", ""QID290_5"", ""QID290_6"", ""QID290_7"", ""QID290_10"", ""QID290_11"", ""QID290_12""]",10,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"What percentage of the public do you think supports the following policies? For each policy, choose a number from 0% to 100%.",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Non-experimental heuristics and biases::QID291,QID291,Non-experimental heuristics and biases,MC,heuristics_biases,"[""QID291""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"Imagine that there will be a deadly flu going around your area next winter. Your doctor says that you have a 10% chance (10 out of 100) of dying from this flu. However, a new flu v",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Outcome bias - failure::QID162,QID162,Outcome bias - failure,MC,other,"[""QID162""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"A 55-year-old man had a heart condition. He had to stop working because of chest pain. He enjoyed his work and did not want to stop. His pain also interfered with other things, suc",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
